CITY,MNFR,RESULT
KMA,PFIZER,1
ADANSI SOUTH,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
ADANSI NORTH,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
OBUASI,NORTH CHINA PHARMACEUTICAL CO. LTD,1
OBUASI,BELCO PHARMA,1
ADANSI NORTH,BELCO PHARMA,1
OBUASI,BELCO PHARMA,1
ADANSI NORTH,BELCO PHARMA,1
OBUASI,BELCO PHARMA,1
ADANSI NORTH,BELCO PHARMA,1
ADANSI SOUTH,BELCO PHARMA,1
OBUASI,SHANXI SHUGUANG PHARM,1
KMA,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
KMA,SHANXI SHUGUANG PHARM,1
KMA,SHANXI SHUGUANG PHARM,1
KMA,SHANXI SHUGUANG PHARM,1
ASUNAFO NORTH,NORTH CHINA PHARMACEUTICAL CO. LTD,1
ASUNAFO NORTH,BHARAT PARENTERALS LTD,1
ASUNAFO NORTH,BHARAT PARENTERALS LTD,1
ASUNAFO NORTH,BELCO PHARMA,1
ASUTIFI SOUTH,BELCO PHARMA,1
ASUTIFI SOUTH,PIRAMAL HEALTHCARE UK LIMITED,1
SUNYANI,MACIN REMEDIES INDIA LTD,1
SUNYANI,SHANXI SHUGUANG PHARM,1
CAPE COAST,BELCO PHARMA,1
GOMOA WEST,BELCO PHARMA,1
AWUTU SENYA EAST,SHANXI SHUGUANG PHARM,1
CAPE COAST,PHARMAX INDIA PVT LTD,1
AWUTU SENYA,BELCO PHARMA,1
MFANTSEMAN,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
MFANTSEMAN,BELCO PHARMA,1
MFANTSEMAN,BHARAT PARENTERALS LTD,1
MFANTSEMAN,BELCO PHARMA,1
MFANTSEMAN,BHARAT PARENTERALS LTD,1
MFANTSEMAN,SHANDOND SHENGLU PHARMACEUTICAL CO.LTD.,1
CAPE COAST,SHANXI SHUGUANG PHARM,1
CAPE COAST,NOVARTIS PHARMA,1
CAPE COAST,SHANXI SHUGUANG PHARM,1
CAPE COAST,BELCO PHARMA,1
CAPE COAST,BHARAT PARENTERALS LTD,1
CAPE COAST,BELCO PHARMA,1
CAPE COAST,NOVARTIS PHARMA,1
CAPE COAST,HUBEI TIANYAO PHARMACEUTICALS CO LTD.,1
KOMENDA-EDINA EGUAFO-ABIREM,PIRAMAL HEALTHCARE UK LIMITED,1
AGONA WEST,SHANDOND SHENGLU PHARMACEUTICAL CO.LTD.,1
AGONA EAST,BELCO PHARMA,1
AGONA EAST,SHANXI SHUGUANG PHARM,1
AGONA EAST,BELCO PHARMA,1
AGONA WEST,SHANXI SHUGUANG PHARM,1
AGONA EAST,BELCO PHARMA,1
ASSIN NORTH,BELCO PHARMA,1
ASSIN NORTH,BELCO PHARMA,1
KOMENDA-EDINA EGUAFO-ABIREM,BELCO PHARMA,1
ASSIN NORTH,PUSHKAR PHARMA,1
ASSIN SOUTH,BELCO PHARMA,1
GOMOA EAST,BELCO PHARMA,1
AKWAPIM NORTH,BELCO PHARMA,1
NEW-JUABENG,BELCO PHARMA,1
NEW-JUABENG,BHARAT PARENTERALS LTD,1
AKWAPIM NORTH,BELCO PHARMA,1
EAST AKIM,BHARAT PARENTERALS LTD,1
ATIWA,BELCO PHARMA,1
ATIWA,BELCO PHARMA,1
KMA,INDASI LIFESCIENCES,0
KMA,BHARAT PARENTERALS LTD,0
OBUASI,NORRIS MEDICINES LTD,0
KMA,PHARMAX INDIA PVT LTD,0
KMA,INDASI LIFESCIENCES,0
KMA,INDASI LIFESCIENCES,0
KMA,INDASI LIFESCIENCES,0
OBUASI,BLISS GVS PHARMA LTD,0
KMA,BLISS GVS PHARMA LTD,0
OBUASI,BLISS GVS PHARMA LTD,0
AHAFO-ANO NORTH,MACLEODS PHARMACEUTICALS LTD,0
AHAFO-ANO NORTH,MACLEODS PHARMACEUTICALS LTD,0
OBUASI,PIRAMAL HEALTHCARE UK LIMITED,0
ADANSI SOUTH,PIRAMAL HEALTHCARE UK LIMITED,0
KMA,PIRAMAL HEALTHCARE UK LIMITED,0
OBUASI,PFIZER,0
OBUASI,PFIZER,0
OBUASI,PFIZER,0
OBUASI,PFIZER,0
OBUASI,PFIZER,0
OBUASI,PFIZER,0
ADANSI SOUTH,ACME FORMULATION PVT. LTD.,0
ADANSI NORTH,PIRAMAL HEALTHCARE UK LIMITED,0
KMA,PIRAMAL HEALTHCARE UK LIMITED,0
OBUASI,BELCO PHARMA,0
OBUASI,BELCO PHARMA,0
OBUASI,BELCO PHARMA,0
OBUASI,NOVARTIS PHARMA,0
KMA,NOVARTIS PHARMA,0
ADANSI NORTH,AS GRINDEKS,0
KMA,NOVARTIS PHARMA,0
KMA,NOVARTIS PHARMA,0
KMA,BHARAT PARENTERALS LTD,0
KMA,NOVARTIS PHARMA,0
KMA,NOVARTIS PHARMA,0
ASUNAFO NORTH,PIRAMAL HEALTHCARE UK LIMITED,0
ASUNAFO NORTH,PIRAMAL HEALTHCARE UK LIMITED,0
ASUNAFO NORTH,BELCO PHARMA,0
ASUTIFI SOUTH,ACME FORMULATION PVT. LTD.,0
SUNYANI,NOVARTIS PHARMA,0
SUNYANI,NOVARTIS PHARMA,0
SUNYANI,PIRAMAL HEALTHCARE UK LIMITED,0
SUNYANI,AS GRINDEKS,0
SUNYANI WEST,BELCO PHARMA,0
MFANTSEMAN,ACME FORMULATION PVT. LTD.,0
MFANTSEMAN,KREMOINT PHARMA PVT LTD,0
CAPE COAST,S. KANT HEALTHCARE LTD,0
CAPE COAST,PIRAMAL HEALTHCARE UK LIMITED,0
CAPE COAST,GENIX PHARMA PRIVATE LTD,0
CAPE COAST,PIRAMAL HEALTHCARE UK LIMITED,0
CAPE COAST,PIRAMAL HEALTHCARE UK LIMITED,0
KOMENDA-EDINA EGUAFO-ABIREM,PIRAMAL HEALTHCARE UK LIMITED,0
KOMENDA-EDINA EGUAFO-ABIREM,LINCOLN PHARMACEUTICALS LTD,0
KOMENDA-EDINA EGUAFO-ABIREM,KREMOINT PHARMA PVT LTD,0
EFFUTU,PIRAMAL HEALTHCARE UK LIMITED,0
EFFUTU,S. KANT HEALTHCARE LTD,0
EFFUTU,AS GRINDEKS,0
EFFUTU,AS GRINDEKS,0
EFFUTU,BHARAT PARENTERALS LTD,0
EFFUTU,AS GRINDEKS,0
AWUTU SENYA EAST,BELCO PHARMA,0
GOMOA EAST,PIRAMAL HEALTHCARE UK LIMITED,0
AWUTU SENYA EAST,PIRAMAL HEALTHCARE UK LIMITED,0
AWUTU SENYA,BLISS GVS PHARMA LTD,0
AWUTU SENYA EAST,GUILIN PHARMACEUTICALS,0
EFFUTU,PIRAMAL HEALTHCARE UK LIMITED,0
EFFUTU,PIRAMAL HEALTHCARE UK LIMITED,0
EFFUTU,PIRAMAL HEALTHCARE UK LIMITED,0
GOMOA WEST,ACME FORMULATION PVT. LTD.,0
GOMOA WEST,BHARAT PARENTERALS LTD,0
GOMOA WEST,KINAPHARMA LTD,0
MFANTSEMAN,THEMIS LABORATORIES PVT LTD,0
MFANTSEMAN,LINCOLN PHARMACEUTICALS LTD,0
MFANTSEMAN,PIRAMAL HEALTHCARE UK LIMITED,0
MFANTSEMAN,S. KANT HEALTHCARE LTD,0
CAPE COAST,PIRAMAL HEALTHCARE UK LIMITED,0
CAPE COAST,THEMIS LABORATORIES PVT LTD,0
CAPE COAST,BHARAT PARENTERALS LTD,0
CAPE COAST,NOVARTIS PHARMA,0
CAPE COAST,BHARAT PARENTERALS LTD,0
CAPE COAST,SHALINA LAB PVT LTD,0
AGONA WEST,PHARMAX INDIA PVT LTD,0
AGONA EAST,FOR: NAZA PHARMACY LTD,0
AGONA WEST,PHARMAX INDIA PVT LTD,0
AGONA WEST,PIRAMAL HEALTHCARE UK LIMITED,0
AGONA EAST,PHARMAX INDIA PVT LTD,0
AGONA EAST,LINCOLN PHARMACEUTICALS LTD,0
AGONA WEST,KINAPHARMA LTD,0
AGONA WEST,KINAPHARMA LTD,0
AWUTU SENYA,PIRAMAL HEALTHCARE UK LIMITED,0
AWUTU SENYA EAST,PHARMAX INDIA PVT LTD,0
AWUTU SENYA,KINAPHARMA LTD,0
AWUTU SENYA EAST,GUILIN PHARMACEUTICALS,0
AWUTU SENYA,BHARAT PARENTERALS LTD,0
AWUTU SENYA,PIRAMAL HEALTHCARE UK LIMITED,0
AWUTU SENYA EAST,PIRAMAL HEALTHCARE UK LIMITED,0
AWUTU SENYA EAST,PIRAMAL HEALTHCARE UK LIMITED,0
ABURA-ASEBU-KWAMANKESE,BELCO PHARMA,0
ABURA-ASEBU-KWAMANKESE,BELCO PHARMA,0
ABURA-ASEBU-KWAMANKESE,PIRAMAL HEALTHCARE UK LIMITED,0
MFANTSEMAN,BELCO PHARMA,0
MFANTSEMAN,PIRAMAL HEALTHCARE UK LIMITED,0
MFANTSEMAN,BELCO PHARMA,0
MFANTSEMAN,AS GRINDEKS,0
MFANTSEMAN,PIRAMAL HEALTHCARE UK LIMITED,0
MFANTSEMAN,BELCO PHARMA,0
MFANTSEMAN,AS GRINDEKS,0
MFANTSEMAN,BELCO PHARMA,0
MFANTSEMAN,BELCO PHARMA,0
CAPE COAST,AS GRINDEKS,0
CAPE COAST,NOVARTIS PHARMA,0
CAPE COAST,AS GRINDEKS,0
CAPE COAST,PIRAMAL HEALTHCARE UK LIMITED,0
CAPE COAST,NOVARTIS PHARMA,0
CAPE COAST,BELCO PHARMA,0
KOMENDA-EDINA EGUAFO-ABIREM,BELCO PHARMA,0
KOMENDA-EDINA EGUAFO-ABIREM,AS GRINDEKS,0
EFFUTU,AS GRINDEKS,0
GOMOA EAST,BELCO PHARMA,0
GOMOA EAST,BELCO PHARMA,0
GOMOA EAST,AS GRINDEKS,0
GOMOA EAST,AS GRINDEKS,0
AGONA WEST,AS GRINDEKS,0
AGONA EAST,PHARMAX INDIA PVT LTD,0
AGONA WEST,NOVARTIS PHARMA,0
ASSIN NORTH,AS GRINDEKS,0
ASSIN NORTH,NORTH CHINA PHARMACEUTICAL CO. LTD,0
ASSIN NORTH,AS GRINDEKS,0
ASSIN NORTH,PIRAMAL HEALTHCARE UK LIMITED,0
ABURA-ASEBU-KWAMANKESE,NOVARTIS PHARMA,0
ABURA-ASEBU-KWAMANKESE,ACME FORMULATION PVT. LTD.,0
ASSIN SOUTH,AS GRINDEKS,0
ASSIN SOUTH,BELCO PHARMA,0
ASSIN SOUTH,BELCO PHARMA,0
ASSIN NORTH,BELCO PHARMA,0
ASSIN SOUTH,AS GRINDEKS,0
CAPE COAST,AS GRINDEKS,0
GOMOA EAST,BELCO PHARMA,0
NEW-JUABENG,BELCO PHARMA,0
NEW-JUABENG,BELCO PHARMA,0
NEW-JUABENG,PIRAMAL HEALTHCARE UK LIMITED,0
AKWAPIM NORTH,KINAPHARMA LTD,0
AKWAPIM NORTH,PHARMANOVA LIMITED,0
AKWAPIM SOUTH,PHARMAX INDIA PVT LTD,0
SUHUM,PIRAMAL HEALTHCARE UK LIMITED,0
AKWAPIM SOUTH,PIRAMAL HEALTHCARE UK LIMITED,0
SUHUM,BELCO PHARMA,0
SUHUM,BELCO PHARMA,0
SUHUM,BELCO PHARMA,0
AKWAPIM SOUTH,BELCO PHARMA,0
SUHUM,PIRAMAL HEALTHCARE UK LIMITED,0
ATIWA,BELCO PHARMA,0
KWAHU SOUTH,BELCO PHARMA,0
KWAHU WEST,BELCO PHARMA,0
NEW-JUABENG,ACME FORMULATION PVT. LTD.,0
LOWER MANYA KROBO,PIRAMAL HEALTHCARE UK LIMITED,0
